Dates,SPX INDEX,S5INFT INDEX,S5ENRS INDEX,S5FINL INDEX,S5HLTH INDEX,S5INDU INDEX,S5COND INDEX,S5UTIL INDEX,S5MATR INDEX,S5CONS INDEX,S5TELS INDEX,S5RLST INDEX
1/2/2006,14.7137,19.0007,9.9284,12.1376,17.269,16.0565,16.7501,14.2814,14.4683,17.1619,14.3486,#N/A N/A
1/3/2006,14.9345,19.3959,10.2809,12.3639,17.5262,16.1786,16.6767,14.5375,14.7762,17.3548,14.3909,#N/A N/A
1/4/2006,14.9928,19.6236,10.309,12.339,17.6819,16.2163,16.741,14.5172,14.852,17.4053,14.4937,#N/A N/A
1/5/2006,14.9799,19.7336,10.1723,12.3584,17.652,16.159,16.8118,14.4188,14.8285,17.3458,14.5436,#N/A N/A
1/6/2006,15.1123,20.04,10.3903,12.4147,17.7796,16.245,16.945,14.5401,14.9856,17.4212,14.557,#N/A N/A
1/9/2006,15.1576,20.063,10.383,12.4728,17.8705,16.3164,17.0979,14.4565,14.9469,17.4696,14.5278,#N/A N/A
1/10/2006,15.1517,20.0528,10.4729,12.4718,17.8036,16.268,17.1272,14.4477,14.8609,17.4239,14.4848,#N/A N/A
1/11/2006,15.2062,20.2329,10.523,12.5396,17.7489,16.2768,17.2186,14.4029,14.7576,17.4565,14.5912,#N/A N/A
1/12/2006,15.1076,20.0715,10.4134,12.4428,17.7259,16.1402,17.1414,14.4197,14.599,17.3673,14.5305,#N/A N/A
1/13/2006,15.1251,20.0079,10.5643,12.4514,17.6984,16.1047,17.1292,14.5255,14.6136,17.3664,14.6246,#N/A N/A
1/16/2006,15.1251,20.0079,10.5643,12.4514,17.6984,16.1047,17.1292,14.5255,14.6136,17.3664,14.6246,#N/A N/A
1/17/2006,15.0437,19.7687,10.6779,12.3129,17.6374,16.0195,17.084,14.6878,14.5893,17.2629,14.449,#N/A N/A
1/18/2006,14.9932,19.6917,10.5306,12.2702,17.6648,16.0222,17.0221,14.7075,14.4055,17.2963,14.4789,#N/A N/A
1/19/2006,15.0721,19.8681,10.7438,12.2049,17.7641,16.0802,17.1744,14.8297,14.5711,17.3262,14.5166,#N/A N/A
1/20/2006,14.7952,19.2977,10.7716,11.9379,17.4024,15.7166,16.8445,14.7086,14.3508,17.0816,14.2722,#N/A N/A
1/23/2006,14.8324,19.2234,10.8912,12.0353,17.335,15.7182,16.8613,14.7861,14.5266,17.0799,14.2512,#N/A N/A
1/24/2006,14.8691,19.2716,10.8208,12.0766,17.2792,15.7934,17.0519,14.8459,14.6922,17.1368,14.2814,#N/A N/A
1/25/2006,14.8353,19.2909,10.6083,12.0928,17.2567,15.7279,17.0318,14.6375,14.7979,17.1643,14.422,#N/A N/A
1/26/2006,14.9337,19.3861,10.6076,12.2792,17.3586,15.8558,17.1105,14.5043,15.0085,17.213,14.5193,#N/A N/A
1/27/2006,15.0301,19.543,10.7641,12.2768,17.5483,15.8497,17.2671,14.5874,15.1904,17.3402,14.5835,#N/A N/A
1/30/2006,15.0013,19.6051,10.8879,12.1934,17.4725,15.8433,17.2179,14.4799,15.1609,17.2766,14.5458,#N/A N/A
