Dates,SPTR INDEX,SPTRINFT INDEX,SPTRENRS INDEX,SPTRFINL INDEX,SPTRHLTH INDEX,SPTRINDU INDEX,SPTRCOND INDEX,SPTRUTIL INDEX,SPTRMATR INDEX,SPTRCONS INDEX,SPTRTELS INDEX,SPTRRLST INDEX
1/2/2006,1887.941,343.33,493.5,541.1447,430.99,349.57,293.03,255.94,238.53,300.4,158.07,166.8761
1/3/2006,1918.959,350.3,515.75,550.131,436.59,352.13,295.92,260.95,243.17,302.41,158.82,171.0608
1/4/2006,1926.387,354.18,517.47,549.3696,440.39,352.98,295.97,261.15,244.7,303.18,160.24,171.8636
1/5/2006,1926.439,356.97,512.07,551.3623,439.73,351.92,296.42,259.46,244.45,301.81,160.85,173.3726
1/6/2006,1945.015,362.72,523.62,554.2263,442.92,353.9,299.1,261.93,247.46,303.19,162.18,175.6234
1/9/2006,1952.129,363.75,523.59,556.5934,445.13,355.73,301.61,260.75,247.11,304.29,162.39,176.8775
1/10/2006,1951.53,363.93,528.2,556.566,443.1,354.86,302.13,260.92,245.69,303.37,161.95,178.4962
1/11/2006,1958.557,367.94,531.01,559.1367,442.14,355.22,303.4,260.2,243.69,304.14,163.17,178.0406
1/12/2006,1946.281,365.37,526.43,555.3434,441.76,352.39,300.9,260.14,240.31,302.7,162.25,177.5872
1/13/2006,1948.637,364.97,533.98,555.4361,440.96,351.06,301.13,262.12,240.83,302.79,163.33,174.8169
1/16/2006,1948.637,364.97,533.98,555.4361,440.96,351.06,301.13,262.12,240.83,302.79,163.33,174.8169
1/17/2006,1941.568,361.15,544.68,550.2471,439.74,349.22,299.07,264.82,241.27,301.45,161.75,174.2678
1/18/2006,1934.209,356.33,537.54,548.3379,440.86,349.57,298.48,265.37,238.63,302.4,161.87,174.2989
1/19/2006,1944.984,359.47,548.89,546.5864,443.19,351.13,300.75,267.73,241.08,302.78,162.27,176.5979
1/20/2006,1909.346,349.17,549.91,534.8956,434.65,342.86,295.27,265.77,237.26,298.49,159.56,173.9706
