,0,1,2,3,4
0,"Kushner was asked to \xe2\x80\x98lay low\xe2\x80\x99 after Russia-related reports, source says",Politics,29-05-2017,"White House senior advisor Jared Kushner (C) sits alongside U.S. President Donald Trump (L) and Commerce Secretary Wilbur Ross (2nd L) as they prepare to meet with Saudi Arabia's King Salman bin Abdulaziz Al Saud and the Saudi delegation at the Royal Court in Riyadh, Saudi Arabia May 20, 2017.Jonathan Ernst | ReutersBack on his home turf after an eight-day foreign trip, President Donald Trump is once again facing down controversy \xe2\x80\x94 and now it's hitting close to home.Trump was greeted on U.S. soil by new reports involving his son-in-law-turned-senior White House adviser, Jared Kushner. NBC News reported Thursday that  Kushner has come under FBI scrutiny in the Russia investigation, with multiple officials telling NBC News that investigators believe Kushner has significant information relevant to their inquiry. That doesn't mean, however, that they suspect him of a crime or intend to charge him.More from NBC News:Germany's Merkel Signals Deepening Rift With U.S. Under TrumpBiden Slams Democrats for Silence on Middle-Class StrugglesSurvivor Recounts 'Nightmare' Shooting That Left 8 Dead in MississippiA source familiar with the thinking inside the White House told NBC News that a few individuals have even suggested to Kushner that he should ""lay low,"" in the aftermath of those reports and new revelations that he sought to set up a secret back-channel with Russia. Separately, a White House official, who spoke on condition of anonymity, told NBC News that at least one staffer was speechless when they learned about reports of a purported Russia back channel.Despite that request, there is no indication that the president shares that view and Kushner remains one of his top advisers. ""Jared is doing a great job for the country,"" the president told  The New York Times Sunday. ""I have total confidence in him. He is respected by virtually everyone and is working on programs that will save our country billions of dollars. In addition to that, and perhaps more importantly, he is a very good person."" The Washington Post reported Friday that Kushner discussed setting up a secure and secret communication channel between the Kremlin and the Trump transition with Russian Ambassador Sergey Kislyak. The proposal, which hasn't been independently confirmed by NBC News, was made during a meeting in December with Kisylak, also attended by former Trump National Security Adviser Michael Flynn, The Post reported.That Kushner is being cautioned to keep a low profile is notable considering his role leading a new White House ""war room"" to deal with Russia-related issues. White House aides told NBC News before the weekend that  Kushner, presidential counselor Steve Bannon and White House Chief of Staff Reince Priebus would head up the effort, but other officials sounded more skeptical Sunday that Kushner would play a leading and hands-on role.Despite mounting questions, Kushner remains focused on work and eager to cooperate with the investigation, a source familiar with his thinking told NBC News. And Sen. Bob Corker, R-Tennessee,  delivered a similar reminder Sunday, telling NBC News' Chuck Todd that it ""sounds like he's more than glad to talk about all of these things.""Kushner would speak for himself, Corker said he'd been reassured, ""when the time is right.""Although the White House largely  believed Trump's first foreign trip to be a success, that doesn't mean thoughts about shaking things up in the president's inner circle have subsided. Multiple sources told NBC News that changes are still coming in a White House that has become known for its palace intrigue and publicly aired internal politics. Questions have long swirled about White House Press Secretary Sean Spicer's future, with Trump still weighing a higher-profile role for Spicer's deputy, Sarah Huckabee Sanders. Officials previewed changes to come in the communications shop, including having more top officials make appearances at briefings.And former campaign aides Corey Lewandowski and David Bossie are back in the president's orbit, sources confirmed to NBC News, with their prospects of officially joining the administration swirling as Trump seeks out the team that brought him success during the campaign.That campaign spirit could be back in full view in the coming weeks, as well, with one official telling NBC News that Trump is expected to get back on the road and to the rallies he so loves, using them to bolster his agenda on key issues like tax reform and health care.",https://www.cnbc.com/2017/05/29/kushner-was-asked-to-lay-low-after-russia-related-reports-source-says.html
1,"Britain's Heathrow says BA still experiencing some disruptions, airline says full long-haul schedule to operate",Airlines,28-05-2017,"A British Airways Airbus A380 at Heathrow Airport in London.David Dyson | British AirwaysLondon's Heathrow Airport said early on Monday that there were still some disruptions to British Airways flights from the airport following a global computer system failure at the airline.The airline resumed some flights from Britain's two biggest airports on Sunday, but hundreds of passengers were still waiting for hours at London Heathrow.""We have mobilized additional Heathrow colleagues to assist passengers at the terminals and give out free water and snacks,"" Heathrow said in a statement on Twitter.In a subsequent statement, British Airways said it intends to operate long-haul flights from Heathrow on a full schedule, and a ""high proportion"" of its short-haul flights as well on Monday, Reuters reported.The airport said earlier that further delays and cancellations of BA flights were expected on Sunday and told passengers not to travel to the airport unless they were rebooked on other flights.BA cancelled all its flights from Heathrow, Europe's busiest airport, and Gatwick on Saturday after a power supply problem disrupted its flight operations worldwide and also hit its call centers and website.",https://www.cnbc.com/2017/05/28/britains-heathrow-says-ba-still-experiencing-some-disruptions-full-long-haul-schedule-to-operate.html
2,"If bad debt doesn't rise during difficult times, banks aren't doing enough, says Singapore's central bank chief",Banks,29-05-2017,"Many banks in Asia have seen asset quality deteriorate in a difficult post-crisis climate, but the rise in non-performing loans should be assessed in the context of that environment, Singapore's central bank chief said on Monday.""Banks are in the business of inter-mediating risks. When risks materialize, as they sometimes do when those who borrow get into difficulties, NPLs must rise,"" Ravi Menon, managing director of the Monetary Authority of Singapore, said in his opening remarks at the 2017 Symposium on Asian Banking and Finance in the city state.""This may be odd for a regulator to say, but if NPLs did not rise at all during difficult times, then the banks are probably not lending enough, they're not taking on sufficient risks to promote business expansion or enterprise,"" he added.Bad loans have risen at Asian banks but they are better placed for growth compared to their European counterpart, according to Singapore's central bank chiefZhang Peng | LightRocket  | Getty ImagesA Reuters data analysis last year found bad loans at 74 major listed Asian banks, excluding Indian and Japanese lenders, reached $171 billion at the end of 2015. That was the highest since 2008 and 28 percent higher than a year earlier. Concerns over mounting debt levels in Asia have resulted in several changes in the region, including a recent downgrade in China's rating by Moody's.Rising levels of bad loans, coupled with weaker economic growth and prolonged easy monetary policy, have also affected returns by Asian banks, Menon noted.But Asian banks are in a better position to grow compared to their European counterparts, some of which have withdrawn from the region by selling their Asian business units, Menon said. He noted that Asia's growth is expected to average around 6 percent in the next five years, compared to the global average of 3.7 percent.On bad debt, he said, it is more important that banks manage that risk by ""proactively and conservatively"" setting aside enough money to cover those loans.""Take for example Singapore. NPLs have risen amidst the weakening environment and emerging asset quality risks in the oil and gas sector, which has been weighed down by low oil prices\xe2\x80\xa6 Banks in Singapore have made adequate provisions. The overall provisioning cover for the banking system, as a percentage of total unsecured NPLs, is about 100 percent. The local banks' provisioning cover is even higher at above 200 percent,"" he said.""The good news for Asian banks is these cyclical headwinds will pass in time. Growth is recovering, monetary policy is normalizing and commodity prices are stabilizing.""",https://www.cnbc.com/2017/05/29/if-bad-debt-doesnt-rise-during-difficult-times-banks-arent-doing-enough-says-singapores-central-bank-chief.html
3,"BA battles third day of disruption, image blow after IT meltdown",Transportation,29-05-2017,"British Airways was battling its third day of disruption on Monday after a global computer system failure stranded thousands of passengers over a holiday weekend and turned into a public relations disaster.The airline said it was running a full schedule at London's Gatwick airport on Monday and planned to operate all its long-haul flights from Heathrow, although some short-haul flights had been cancelled.BA had been forced to cancel all its flights from Heathrow, Europe's busiest airport, and Gatwick on Saturday after a power supply problem disrupted its operations worldwide and also hit its call centres and website. The disruption continued on Sunday. Some stranded passengers curled up under blankets on the floor or slumped on luggage trolleys, images that played prominently in the media at the start of a week when schools were on holiday.""Apologises all well and good but not enough. BA has lost another loyal customer #disgraceful,"" tweeted Tom Callway, who had been due to fly to Budapest.Spanish-listed shares of parent company IAG, which also owns carriers Iberia, Aer Lingus and Vueling, dropped 2.7 percent on Monday after the outage.Davy analyst Stephen Furlong said the cost to the carrier of cancelling one day of operations was around 30 million pounds ($38.5 million) in revenue and 4 million in operating profit.On top of that, the airline will pay compensation to customers for the delays, though he added it looked likely to be a one-off cost which would be limited given the resumption of flights on Sunday and Monday.Jack Taylor | StringerCost CuttingBA has been cutting costs to respond to competition on short-haul routes from Ryanair and easyJet and recently faced criticism for starting to charge passengers for their in-flight snacks.Ireland's Ryanair was quick to seize on the marketing opportunity, tweeting ""Should have flown Ryanair"" with a picture of the 'Computer says no' sketch from the TV series ""Little Britain"" to poke fun at BA.The GMB union said that BA's IT systems had shortcomings after they made a number of staff redundant and shifted their work to India in 2016.""This could have all been avoided. BA in 2016 made hundreds of dedicated and loyal IT staff redundant and outsourced the work to India,"" Mick Rix, GMB National Officer for Aviation, said.In response, BA said its IT services were provided by a range of suppliers and that this was common practice.""We would never compromise the integrity and security of our IT systems,"" a BA spokeswoman said.Several passengers complained about a lack of information from BA staff at the airport. Others said their luggage had been lost.The airline said it was working to get reunite passengers with their luggage after many items were left at Heathrow over the weekend, although staff on Twitter warned this ""could take some time"".Follow CNBC International on Twitter and Facebook. ",https://www.cnbc.com/2017/05/29/ba-battles-third-day-of-disruption-image-blow-after-it-meltdown.html
4,Asian markets close mixed after directionless session; China and HK closed,Asia Markets,29-05-2017,"VIDEO6:3506:35Asian markets open mixedSquawk Box AsiaShares in Asia closed mixed on Tuesday, following a directionless session yesterday as major markets around the world were closed for various holidays.The Nikkei 225 was mostly flat, closing 0.02 percent or 4.72 lower at 19,677.85, while the S&P/ASX 200 reversed earlier losses to finish the session in the green. The ASX closed 0.19 percent or 10.828 points higher at 5,717.9.South Korea's benchmark Kospi index dipped 0.39 percent or 9.29 points to close at 2,343.68, pulling back from record highs.Markets in Hong Kong and China are closed today for a public holiday. Stateside, markets in the U.S. were closed on Monday for Memorial Day.Toshiba shares close 0.57 percent lower at 260.8 yen a stock. This followed news that Western Digital could join a consortium involving a Japanese state-backed fund and KKR & Co. Western Digital had initially sought to block the sale of Toshiba's chip unit.Shares of the Kuala Lumpur-listed Genting rose 1.5 percent after it reported first quarter earnings of 603 million Malaysian ringgit ($141 million) compared to 131 million ringgit a year ago.Meanwhile, casino operator Genting Malaysia reported that profits in the first quarter had doubled on year. Despite that, shares of the company tumbled more than 5 percent. VIDEO2:3402:34Finally, inflation in Japan?Squawk Box AsiaIn economic news, Japan  household spending dipped 1.4 percent for the month of April, weaker than the 0.7 percent forecast. Meanwhile, April retail sales rose 3.2 percent on year, compared to a forecast of a 2.3 percent rise, Reuters said.The dollar/yen, which traded around 111.21 before the release of data, traded at 111.18 following the news. The yen later strengthened further to trade at 110.89 at 2:05 p.m. HK/SIN.In other currency news, the dollar traded mostly flat against a basket of six rival currencies at 97.707. The greenback hit a near six and a half month low last week.VIDEO1:1701:17Where dollar/yen is headed this yearStreet Signs AsiaThe  traded close to levels seen last Friday on news that U.K. Prime Minister Theresa May's lead had narrowed ahead of an election next week. With U.K. markets closed yesterday for a bank holiday, the pound last traded at $1.2804.Meanwhile, the euro edged down to trade at $1.1119 against the dollar. This followed headlines about the Greek bailout and comments made by European Central Bank (ECB) President Mario Draghi while addressing the European Parliament yesterday. In his speech, Draghi acknowledged growth in the euro zone but said ""an extraordinary amount of monetary policy support"" remained ""necessary.""""It's now only a week out from the ECB meeting and you can't get much clearer than that. The ECB will then unveil its new inflation forecasts; an about turn from the ECB signalling a winding down of QE would be a big surprise to the market,"" National Australia Bank Senior Economist David de Garis wrote in a note.Oil prices were mixed after ending the last session cautiously higher following reports of U.S. drillers adding rigs. Brent crude shed 0.27 percent to trade at $52.15 a barrel while U.S. West Texas International (WTI) crude added 0.06 percent to trade at $49.83.Correction: This article has been updated to accurately reflect the changes in the dollar, the euro, the yen and the pound.",https://www.cnbc.com/2017/05/29/asian-markets-to-trade-with-china-and-hk-closed.html
5,ECB waiting for new data but overall extraordinary monetary policy needs to stay,Central Banks,29-05-2017,"Mario DraghiAlex Kraus | Bloomberg via Getty ImagesThe European Central Bank is set to receive updated data when it meets next month, but according to its president, it is not yet time to tighten monetary policy.""At its June monetary policy meeting the Governing Council will receive an update of the staff projections and a more complete information set on which it will be able to formulate its judgement on the distribution of risks around the most likely outlook for growth and inflation,"" ECB President Mario Draghi told a parliamentary hearing in Brussels on Monday.""Overall, we remain firmly convinced that an extraordinary amount of monetary policy support, including through our forward guidance, is still necessary for the present level of underutilized resources to be re-absorbed and for inflation to return to and durably stabilize around levels close to 2 percent within a meaningful medium-term horizon,"" he said.The euro zone has been growing for many consecutive quarters, reaching a real GDP growth pace of 1.7 percent year-on-year in the first quarter of this year. At the same time, unemployment has fallen and business sentiment hit a six-year high. However, the bank sees problems with domestic costs, which are still to low to support durable inflation.Some analysts expect the ECB to update its tone towards monetary policy over the summer given the upbeat data over the last quarters.The central bank's next meeting is on June 8.Brexit & GreeceSpeaking to European lawmakers, Draghi stated that the central bank is preparing internally for Brexit and is in touch with all of the financial institutions who are seeking to move some of their operations to the euro zone from the City of London.He acknowledged, however, that such a transition raises the risk of ""supervisory fragmentation"".Meanwhile, when asked when Greek bonds will be included in the ECB's quantitative easing program, Draghi said that first, it's important to overcome the impasse over Greece's debt burden.""Let's find debt measures that will make debt more sustainable,"" he said.For the moment, Greek bonds cannot be purchased by the ECB because they are considered junk by credit rating agencies.Follow CNBC International on Twitter and Facebook. ",https://www.cnbc.com/2017/05/29/ecb-waiting-for-new-data-but-overall-extraordinary-monetary-policy-needs-to-stay-draghi.html
6,Israel\xe2\x80\x99s resilient economy can use a tune-up,Investing in: Israel,29-05-2017,"Mahmoud Illean | Corbis | Getty ImagesA report on the socioeconomic situation in Israel published on Sunday has underlined the two faces of the country's economy. The successful high-tech industry and some other sectors remain attractive to investors but underlying issues, including persistent high poverty levels and inequality may, if not addressed, negatively affect economic growth, which stood at a healthy 4 percent in 2016.""We had good growth in Israel the last year but we think that was an outlier and we don't necessarily think that will continue in the near future unless steps are taken,"" cautioned Avi Weiss, director of Jerusalem's Taub Center for Social Policy Studies and editor of its 'A Picture of the Nation' report.Some of the report's findings chime with what others have been saying about the Israeli socioeconomic situation. Notably, Paul Donovan, UBS Wealth Management chief economist, was earlier this month reported by Reuters to have said that the country risks stoking anti-establishment resentment if other sectors of the economy continue to lag behind the high-tech sector, also in terms of wages, thus contributing to a growing gap between rich and poor.The Taub Center report yields some surprising conclusions. While GDP growth has been very robust for an advanced economy, GDP growth per capita shows a different picture. Israel has remained consistently in the bottom half of advanced economies in recent years when it comes to GDP per capita and is in danger of being overtaken by better performing countries.Productivity too, often held up as a shining example of Israel's economic performance, has seen relative low growth in recent years. As with most metrics, that's not true for the high-tech industry. But, says Weiss: ""There's only eight percent of the working population that works in the high-tech industry. That mean 92 percent don't. And those 92 percent have on average low labor productivity.""Weiss, a former chief economist at Israel's antitrust authority, recommends government support for innovation in traditional industries by offering tax breaks to investors and targeting training programs at those sectors.He stressed that he's not painting a gloomy picture. In fact, the government has been doing more in the field of education and poverty reduction over the last few years. There's much room for improvement that's attainable, such as in raising educational levels among Israel's large Arab and ultra-orthodox populations that still lag behind.The report says that one of its purposes is to consider ""sources of future growth"". Weiss adds: ""There are lots of places where you can see growth coming from.""Ease of doing business can also be improved, Israel is consistently ranked below most other OECD countries in the World Bank's annual report. Yaniv Pagot, economist and chief investment strategist at Israel's Ayalon Group acknowledges: ""People invest here despite the fact that the ease of doing business is not great.""Investors come to Israel for added value and know-how, says Pagot. They tend to look at the glass half full, rather than half empty. ""Investors look first and foremost at the strong growth relative to other developed countries.""Steven Schoenfeld, founder and chief investment officer at New York-based BlueStar Global Investors concurs. He's very upbeat about the performance of Israel's economy: ""Investors around the world are looking for growth, and growth with stability is a very rare commodity.""He says that since Israel was upgraded from an emerging to a developed economy at the London and New York stock exchanges at the end of the previous decade, even Israeli high-tech companies have been underrepresented in global indices. This leaves a lot of opportunity for investors, not only in high-tech but also in sectors such as retail, real estate and others associated with consumer spending.As in most other advanced economies at the moment, growth in Israel is being driven by consumer spending. Ayalon's Pagot believes that this will continue, despite the challenges of wage gaps and inequality.""We see strong growth of private consumption, low inflation, a positive investors' climate because of low interest rates, year after year of falling external debt, we see responsible fiscal policies and fiscal goals being met,"" says Pagot. There is a lot of confidence in Israel's economy, he says: ""You see that in the way the ratings agencies look at the local economy.""Indeed, agencies such as Moody's keep Israel consistently in the A+ ranking and focus on the country's economic ""resilience"", i.e. its ability to overcome shocks to its economy stemming from its often turbulent geopolitical and domestic political situations.Israel's natural gas finds and the beginning of exploitation of its Tamar field in 2013 have also had a positive impact on the economy, although that has largely been absorbed by now, according to analysts. Getting the larger Leviathan field ready and starting exports from it, is expected to give a new boost to the economy.All in all, Pagot estimates that in the coming years, absent any ""spanners in the works"" in terms of the geopolitical situation, GDP growth of 3 percent to 3.5 percent should be possible: ""As for the economic fundamentals, that's a goal that's attainable.""Follow CNBC International on Twitter and Facebook. ",https://www.cnbc.com/2017/05/29/israels-resilient-economy-can-use-a-tune-up.html
7,"Woods apologizes for DUI arrest, blames medication",U.S. News,29-05-2017,"Palm Beach County Sheriff's Office Former world number one golfer Tiger Woods said an unexpected reaction to prescribed medications was to blame for his early-morning DUI arrest near his Jupiter Island home in Florida on Monday.Woods, who underwent surgery last week to relieve lingering back pain, was booked at 7:18 a.m. (1118 GMT) and released several hours later on his own recognizance, Palm Beach County Police said in an online report.Woods said in a statement released by his spokesman that alcohol was not a factor in his arrest but apologized and added that he took full responsibility.""I want the public to know that alcohol was not involved,"" he said.""What happened was an unexpected reaction to prescribed medications. I didn't realize the mix of medications had affected me so strongly.""I would like to apologize with all my heart to my family, friends and the fans. I expect more from myself, too.""Woods, who is second on the all-time list with 14 major titles, said he cooperated with police and wanted to thank the Jupiter Police Department and the Palm Beach County Sheriff's office for their professionalism.""I will do everything in my power to ensure this never happens again,"" he added.The incident occurred less than a week after Woods expressed optimism about his future following back surgery, saying on his website that he experienced ""instant relief"" and had not ""felt this good in years.""Woods has previously made headlines away from the golf course. His private life unraveled in late 2009 over allegations about affairs with several women and ultimately led to the end of his marriage.Those allegations followed a bizarre early morning car accident outside his Florida home that rapidly ballooned into a fully-fledged sex scandal which turned his previously unblemished life and career upside down.The scandal ultimately cost Woods a number of lucrative endorsement deals, while other sponsors shifted away from using him in marketing but did not end their contracts with him.Woods, whose current sponsors include Nike, Bridgestone, Hero, Kowa, Upper Deck, and Monster Energy was ranked 12th on Forbes' list of the highest-paid athletes in 2016, with total earnings of $45.3 million, despite missing much of the year recovering from back surgery.A 79-time winner on the PGA Tour who was world number one for a record 683 weeks, Woods lost form in recent years due to injuries and the mastering of a new swing while his ranking has plummeted to 876 after his long spell on the sidelines.He has competed in only 19 events on the PGA Tour since the end of 2013, recording just one top-10 during that period along with seven missed cuts and three withdrawals.",https://www.cnbc.com/2017/05/29/tiger-woods-arrested-in-florida-for-suspicion-of-drunk-driving.html
8,Oil slips as more US drilling outweighs OPEC-led cuts,Energy,28-05-2017,"An oil pump jack in Gonzales, Texas.Getty ImagesOil prices slipped on Monday as further increases in U.S. drilling activity undercut an OPEC-led push to tighten supply. Trading was subdued due to public holidays in China, the United States and Britain, but concerns lingered over whether OPEC action would be enough to stem the tide of oversupply.Brent crude futures were trading down 19 cents at $51.96 per barrel at 0857 GMT. The contract ended the previous week down nearly 3 percent. U.S. West Texas Intermediate (WTI) crude futures were also down 19 cents at $49.61 per barrel. VIDEO0:2500:25US oil drillers add rigs for 19th week in a rowPower LunchThe Organization of the Petroleum Exporting Countries and some non-OPEC producers pledged last week to extend production cuts of around 1.8 million barrels per day (bpd) until March 2018.An initial agreement, in place since January, would have expired in June this year.Commerzbank analyst Carsten Fritsch called Monday's price moves little more than ""intraday noise"" but said hints of deeper cuts or a longer extension from OPEC left the market deflated after the final decision.""They increased expectations to such an extent that nine months was a disappointment,"" Fritsch said.High compliance with the cuts so far was unlikely to last, he said, adding to worries about whether the pledge would dent physical oil stockpiles that remain near record levels.""The pain for OPEC will increase to such a point that 100 percent compliance is unrealistic,"" Fritsch said.VIDEO3:5003:50Oil hits a rough patch, but this investor is still bullishPower LunchDespite ongoing cuts, oil prices have not risen much beyond $50 per barrel. OPEC's success in drawing down inventories may hinge on output in the United States, which is not participating in the cuts. U.S. production has soared 10 percent since mid-2016 to more than 9.3 million bpd, close to top producer levels Russia and Saudi Arabia.U.S. drillers have added rigs for 19 straight weeks, bringing the total 722, the highest number since April 2015 and the longest run of additions on record, according to energy services firm Baker Hughes Inc.Almost all of the recent U.S. output increases have been onshore, from so-called shale oil fields.Even if the rig count did not rise further, Goldman Sachs said it estimated U.S. output would increase by 785,000 bpd between the fourth quarter of 2016 and the fourth quarter of 2017 across the Permian, Eagle Ford, Bakken and Niobrara shale plays.Analysts say that reducing bloated global stocks will be key to reining in oversupply.""It's going to be all about inventories and whether they fall as much as OPEC thinks,"" said Greg McKenna, chief market strategist at futures brokerage AxiTrader.",https://www.cnbc.com/2017/05/28/oil-prices-stay-weak-as-us-drilling-undermines-drive-to-tighten-markets.html
9,San Francisco Fed's Williams: US economy doesn't need a fiscal package,Federal Reserve,28-05-2017,"John Williams, Federal Reserve Bank of San FranciscoGetty ImagesSan Francisco Federal Reserve Bank President John C. Williams said on Monday in Singapore that the U.S. economy was performing well and didn't need a fiscal package to get on track.""It's not like we need fiscal policy in the short run to help the economy get back on track. We're actually in a good place in terms of where the economy is even without thinking about fiscal stimulus,"" Williams said on the sidelines of the Symposium on Asian Banking and Finance. U.S. gross domestic product (GDP) growth rose 1.2 percent annualized in the first quarter, according to updated data, faster than the 0.7 percent preliminary estimate released last month. The U.S. unemployment rate fell to 4.4 percent in April. Noting the Fed's dual mandate, or twin goals, of maximum employment and price stability, the text of his speech at the symposium read, ""the U.S. economy is about as close to the Fed's dual mandate goals as we've ever been."" But in his remarks prior to the speech, he also pointed to uncertainty over what form the Trump administration's fiscal policies might take.""There's a lot of uncertainty about fiscal policy. I'm not sure what's going to happen in terms of tax policy, spending policy, healthcare reform, trade immigration, all those policies. There's not a lot of clarity around that,"" he said, noting the Fed was studying various scenarios.Williams, who is currently a non-voting member of the Federal Open Market Committee, pointed to four big policies with the potential for dramatic impact on the U.S. economic outlook, both in the short and long term: Tax reforms, health care, immigration and trade, including the renegotiation of the North American Free Trade Agreement (Nafta).""Right now, looking at what are the more likely scenarios, I don't see any of them having a big effect on growth in the next few years. Maybe there are some scenarios that are slightly positive, and what I mean by slightly, pushing up U.S. GDP growth by a tenth of a percent or a couple of tenths of a percent,"" he said. He added that he saw ""a little net positive due to the tax cuts,"" but he had some words of caution. ""I think a lot of people, maybe stock market investors and others, have counted up all the positives and kind of ignored how do you pay for that and the negatives. I think there may be some excessive optimism in the U.S. around how this will affect the economy,"" he said.Williams also pointed to potentially negative scenarios, particularly if spending were to be cut dramatically in the short term.He said that if the proposed changes to the Affordable Care Act were passed, ""that could have a short-run significant negative impact in terms of spending.""  Williams reiterated that he still believed a total of three rate hikes by the central bank this year, including the one in March, were appropriate.""Unemployment is at 4 percent. We're adding 180,000 jobs a month, That's roughly twice as much as the U.S. economy needs in a sustainable way. My worry there is if we keep that going, in another couple of years, unemployment will go down in the 3 percents, below 4 percent, and inflationary pressures will build,"" he said. Even with interest-rate increases and normalization of the balance sheet, Williams said he expected economic growth of slightly below 2 percent.On a longer term view, Williams pointed to other challenges for the U.S. economy. ""I personally view that the biggest challenges the U.S. faces are really longer run challenges, not about next month, next year. They're about the fact that productivity growth is very slow, we have a shortfall of infrastructure in the U.S.,"" he said.""We have a lot of longer term challenges that really revolve around needing more investments in education, job training, infrastructure, research and development, all the things that propel an economy over the longer term."" Williams also said he was concerned about the move away from globalization.""Globalization and trade have been hugely beneficial to people around the planet,"" he said. ""I agree that we need to figure out ways to create more modern approaches to that, but what worries me is if countries around the world pull back from integration and trade, I think that would be pretty negative, not only for the global economy, but for the U.S. economy.""On China, Williams said he wasn't worried about a hard-landing for the mainland's economy, at least for the next few years as policymakers were unlikely to allow sharp moves amid a leadership decision this year.But he added that he was more concerned about the five-year view for China, noting that the short-term economic fixes were creating a high debt load.Follow CNBC International on Twitter and Facebook.",https://www.cnbc.com/2017/05/28/san-francisco-feds-williams-reiterates-his-expectation-of-three-rate-hikes-this-year-including-march.html
